,countries,cases,todays,deaths,recovered,active
110,Jamaica,"35,896",,536,"16,309","19,051"
111,Malawi,"33,270",,"1,098","28,947","3,225"
112,Sudan,"29,419",,"1,986","23,725","3,708"
113,Australia,"29,211",+6,909,"26,250","2,052"
114,Malta,"28,409",+90,375,"25,555","2,479"
115,Thailand,"28,277",+401,92,"26,766","1,419"
116,DRC,"27,572",,726,"24,892","1,954"
117,Maldives,"22,662",,66,"20,142","2,454"
118,Madagascar,"22,616",,355,"21,062","1,199"
119,Angola,"21,757",,530,"20,090","1,137"
120,Rwanda,"20,896",,292,"19,214","1,390"
121,Mayotte,"19,006",,154,"2,964","15,888"
122,Guinea,"18,945",,113,"16,079","2,753"
123,French Polynesia,"18,587",,141,"4,842","13,604"
124,Gabon,"18,078",,108,"15,654","2,316"
125,Mauritania,"17,630",,447,"16,918",265
126,Syria,"17,583",,"1,175","11,693","4,715"
127,Eswatini,"17,290",,665,"16,067",558
128,French Guiana,"16,764",,87,"9,995","6,682"
129,Cabo Verde,"16,517",,160,"15,804",553
130,Réunion,"14,631",,87,"13,109","1,435"
131,Tajikistan,"13,308",,90,"13,218",0
132,Haiti,"12,722",,251,"10,667","1,804"
133,Burkina Faso,"12,559",,145,"12,177",237
134,Belize,"12,407",,316,"12,031",60
135,Andorra,"11,545",,113,"11,014",418
136,Hong Kong,"11,410",+12,204,"10,936",270
137,Guadeloupe,"10,976",,165,"2,242","8,569"
138,Lesotho,"10,538",,309,"3,922","6,307"
139,Somalia,"10,214",,441,"4,532","5,241"
140,South Sudan,"9,890",,106,"8,779","1,005"
141,Guyana,"9,668",,216,"8,522",930
142,Congo,"9,564",,134,"7,514","1,916"
143,Mali,"9,380",,371,"6,644","2,365"
144,Suriname,"9,067",,177,"8,560",330
145,Togo,"8,960",,104,"7,242","1,614"
146,Bahamas,"8,923",,188,"7,734","1,001"
147,Aruba,"8,800",,82,"8,292",426
148,Trinidad and Tobago,"7,861",,140,"7,571",150
149,Martinique,"7,309",,47,98,"7,164"
150,Benin,"6,818",,90,"5,552","1,176"
151,Equatorial Guinea,"6,780",,101,"6,244",435
152,Djibouti,"6,658",,64,"6,113",481
153,Nicaragua,"6,582",,176,"4,225","2,181"
154,Iceland,"6,119",,29,"6,035",55
155,Curaçao,"6,041",,24,"4,857","1,160"
156,Mongolia,"5,392",+206,5,"3,758","1,629"
157,Gambia,"5,255",,161,"4,875",219
158,CAR,"5,087",,64,"4,938",85
159,Niger,"4,928",,185,"4,541",202
160,Chad,"4,427",,157,"4,045",225
161,San Marino,"4,388",,79,"3,819",490
162,Gibraltar,"4,270",,94,"4,148",28
163,Saint Lucia,"4,132",,55,"3,950",127
164,Channel Islands,"4,045",,86,"3,965",-6
165,Sierra Leone,"3,948",,79,"2,790","1,079"
166,Seychelles,"3,798",,16,"3,157",625
167,Papua New Guinea,"3,758",+184,37,846,"2,875"
168,Comoros,"3,666",,146,"3,473",47
169,Guinea-Bissau,"3,568",,55,"2,870",643
170,Barbados,"3,559",,40,"3,358",161
171,Yemen,"3,516",,771,"1,546","1,199"
172,Eritrea,"3,118",,7,"2,865",246
173,Liechtenstein,"2,634",+2,56,"2,542",36
174,Burundi,"2,618",,6,773,"1,839"
175,Vietnam,"2,575",,35,"2,233",307
176,New Zealand,"2,462",,26,"2,373",63
177,Turks and Caicos,"2,294",,17,"2,127",150
178,Monaco,"2,182",,27,"2,020",135
179,Sao Tome and Principe,"2,157",,34,"1,988",135
180,Sint Maarten,"2,104",,27,"2,058",19
181,Liberia,"2,042",,85,"1,899",58
182,Cambodia,"1,788",+35,4,999,785
183,St. Vincent Grenadines,"1,700",,10,"1,523",167
184,Saint Martin,"1,619",,12,"1,399",208
185,Isle of Man,"1,503",,26,597,880
186,Caribbean Netherlands,"1,118",,9,"6,445","-5,336"
187,Antigua and Barbuda,"1,072",,28,701,343
188,Taiwan,"1,007",+1,10,969,28
